text,category
It is beyond my tolerance.,angry
Mind your own business.,angry
Damn!,angry
Gr.,angry
Grr.,angry
Do not ask nonsense questions.,angry
It is a stupid question.,angry
You are hostile towards me.,angry
I am mad.,angry
I am burning.,angry
I am aggressive now.,angry
I feel aggressiveness.,angry
I never want to email you.,angry
I hate cheating.,angry
Am I dumb.,angry
Am I foolish.,angry
I have dirty mind.,angry
Go away!,angry
Kill me now.,angry
Enough is enough.,angry
Screw you.,angry
Shut up.,angry
Shut the fuck up.,angry
Fuck off and die.,angry
Over my dead body.,angry
Go to hell.,angry
What the hell.,angry
Fuck off and I cannot do this anymore.,angry
I hate you for no reason.,angry
You are telling lie.,angry
Hands off!,angry
No way!,angry
Do not play dumb!,angry
You are so disgusting!,angry
Do not bother me.,angry
I cannot bear it any longer.,angry
That is the last straw.,angry
This really makes me cross.,angry
This really makes me angry.,angry
Go away from me.,angry
I hate your behavior.,angry
I do not think that you are genius!,angry
Your answers are stupid.,angry
I hate complicated questions.,angry
You are an idiot.,angry
You are dumb.,angry
I hate you.,angry
Exam fucks me.,angry
I hate conceptual questions.,angry
I hate mathematical questions.,angry
I hate analytical questions.,angry
I hate numeric questions.,angry
I hate subjective questions.,angry
I hate MCQs.,angry
Do not ask me vulgar questions.,angry
You are extremely vulgar.,angry
I mind it.,angry
Your answer is so much ugly.,angry
You do it ugly.,angry
I do it ugly.,angry
You answer it ugly.,angry
Your question is so much ugly.,angry
I hate stupid lengthy course.,angry
Exam was bullshit.,angry
I hate bullshit questions.,angry
Bullshit.,angry
Fucking bullshit.,angry
I hate challenging questions.,angry
I hate challenging assignments.,angry
You are biased.,angry
Do not call me stupid.,angry
I abhor stressful environment.,angry
You are a fucking bitch.,angry
What stupid tutorials.,angry
I abhor video tutorials.,angry
Do not ask me rude questions.,angry
I abhor hard work.,angry
You should learn some manners.,angry
You cannot impress me.,angry
Do not cry upon me.,angry
I abhor conversations on messenger.,angry
I hate a word of failure.,angry
My brain blows.,angry
Do not fry my brain.,angry
I abhor MCQs questions.,angry
